工作細項清單,時間區間,隸屬前台單元,隸屬後台單元,類型
編輯文章-撰寫測試,2022/05/07 → 2022/05/08,"https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f, https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462","https://www.notion.so/ba80837842d44efdb578341047e5ccd5, https://www.notion.so/da1395dd40da4a51b43c84d4cffd872e",測試
新增文章分類-撰寫測試,2022/05/07 → 2022/05/08,"https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f","https://www.notion.so/20f79e0ee280435cba7c3ddb71c8fe25, https://www.notion.so/f99736a0b0b142e697e60996743b1f9d",測試
刪除文章分類-撰寫測試,2022/05/07 → 2022/05/08,"https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f","https://www.notion.so/20f79e0ee280435cba7c3ddb71c8fe25, https://www.notion.so/ca0452fbd20a49f787305b585a685dc2",測試
編輯文章分類-撰寫測試,2022/05/07 → 2022/05/08,"https://www.notion.so/d0d82122111142329994e9f9af66e800, https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179, https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f","https://www.notion.so/20f79e0ee280435cba7c3ddb71c8fe25, https://www.notion.so/ca0452fbd20a49f787305b585a685dc2",測試
刪除天文台-撰寫測試,2022/05/08,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/459c9ccb0b074af792be24caee9803ff, https://www.notion.so/260b497d4796407089315d8ac9ea2cb3",測試
編輯天文台-撰寫測試,2022/05/08,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/459c9ccb0b074af792be24caee9803ff, https://www.notion.so/260b497d4796407089315d8ac9ea2cb3",測試
新增天文台-撰寫測試,2022/05/08,https://www.notion.so/d0d82122111142329994e9f9af66e800,"https://www.notion.so/459c9ccb0b074af792be24caee9803ff, https://www.notion.so/ea51ef978f614c13bf6678a11748bf75",測試
刪除天文機構-撰寫測試,2022/05/08,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/45f778efe8b84bf9aeaa59cddf16a661, https://www.notion.so/2ce5011cf7e043dd80542f06d09e2c75",測試
新增天文機構-撰寫測試,2022/05/08,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/45f778efe8b84bf9aeaa59cddf16a661, https://www.notion.so/310659c10f9e465a84937eeaf5e4549d",測試
編輯天文機構-撰寫測試,2022/05/08,https://www.notion.so/b661b9fa1c27405faec5db252d789526,"https://www.notion.so/45f778efe8b84bf9aeaa59cddf16a661, https://www.notion.so/2ce5011cf7e043dd80542f06d09e2c75",測試
刪除觀星地點-撰寫測試,2022/05/08 → 2022/05/09,https://www.notion.so/1928ffc7782444d1a79145a2b66a318d,"https://www.notion.so/83b2cc3c2b7946cca8e2203e612511b8, https://www.notion.so/2988bd127b484494a04638ef2012dfa1",測試
新增觀星地點-撰寫測試,2022/05/08 → 2022/05/09,https://www.notion.so/20435a05ed5c42c3969eba0c33616e28,https://www.notion.so/617119d405cb4f8e97393ebd7bc93547,測試
編輯觀星地點-撰寫測試,2022/05/08 → 2022/05/09,https://www.notion.so/20435a05ed5c42c3969eba0c33616e28,https://www.notion.so/83b2cc3c2b7946cca8e2203e612511b8,測試
部署至 AWS EC2,2022/05/10 → 2022/05/11,,,
Vue Router 與組件關係圖,2022/05/15,,,
